"Title","DOI","Authors","Abstract","Year","Keywords","Type","database","Discard","reason","tag"
"Gene-associated markers can assign origin in a weakly structured fish, Atlantic herring","10.1093/icesjms/fsu247","Bekkevold, D; Helyar, SJ; Limborg, MT; Nielsen, EE; Hemmer-Hansen, J; Clausen, LAW; Carvalho, GR","Regulations on the exploitation of populations of commercially important fish species and the ensuing consumer interest in sustainable products have increased the need to accurately identify the population of origin of fish and fish products. Although genomics-based tools have proven highly useful, there are relatively few examples in marine fish displaying accurate origin assignment. We synthesize data for 156 single-nucleotide polymorphisms typed in 1039 herring, Clupea harengus L., spanning the Northeast Atlantic to develop a tool that allows assignment of individual herring to their regional origin. We show the method's suitability to address specific biological questions, as well as management applications. We analyse temporally replicated collections from two areas, the Skagerrak (n = 81, 84, 66) and the western Baltic (n = 52, 52). Both areas harbour heavily fished mixed-origin stocks, complicating management issues. We report novel genetic evidence that herring from the Baltic Sea contribute to catches in the North Sea, and find support that western Baltic feeding aggregations mainly constitute herring from the western Baltic with contributions from the Eastern Baltic. Our study describes a general approach and outlines a database allowing individual assignment and traceability of herring across a large part of its East Atlantic distribution.",2015,"genetic monitoring; genetic stock identification; mixed-stock analysis; population structure; single-nucleotide polymorphism; small pelagic fish","Article","ISI","no","NA","NA"
"Genetic differentiation and signatures of local adaptation revealed by RADseq for a highly dispersive mud crab Scylla olivacea (Herbst, 1796) in the Sulu Sea","10.1002/ece3.7625","Mendiola, MJR; Ravago-Gotanco, R","Connectivity of marine populations is shaped by complex interactions between biological and physical processes across the seascape. The influence of environmental features on the genetic structure of populations has key implications for the dynamics and persistence of populations, and an understanding of spatial scales and patterns of connectivity is crucial for management and conservation. This study employed a seascape genomics approach combining larval dispersal modeling and population genomic analysis using single nucleotide polymorphisms (SNPs) obtained from RADseq to examine environmental factors influencing patterns of genetic structure and connectivity for a highly dispersive mud crab Scylla olivacea (Herbst, 1796) in the Sulu Sea. Dispersal simulations reveal widespread but asymmetric larval dispersal influenced by persistent southward and westward surface circulation features in the Sulu Sea. Despite potential for widespread dispersal across the Sulu Sea, significant genetic differentiation was detected among eight populations based on 1,655 SNPs (F-ST = 0.0057, p < .001) and a subset of 1,643 putatively neutral SNP markers (F-ST = 0.0042, p < .001). Oceanography influences genetic structure, with redundancy analysis (RDA) indicating significant contribution of asymmetric ocean currents to neutral genetic variation (Radj2 = 0.133, p = .035). Genetic structure may also reflect demographic factors, with divergent populations characterized by low effective population sizes (N-e < 50). Pronounced latitudinal genetic structure was recovered for loci putatively under selection (F-ST = 0.2390, p < .001), significantly correlated with sea surface temperature variabilities during peak spawning months for S. olivacea (Radj2 = 0.692-0.763; p < .050), suggesting putative signatures of selection and local adaptation to thermal clines. While oceanography and dispersal ability likely shape patterns of gene flow and genetic structure of S. olivacea across the Sulu Sea, the impacts of genetic drift and natural selection influenced by sea surface temperature also appear as likely drivers of population genetic structure. This study contributes to the growing body of literature documenting population genetic structure and local adaptation for highly dispersive marine species, and provides information useful for spatial management of the fishery resource.",2021,"marine connectivity; mud crab; population genomics; rad sequencing; seascape genetics; sulu sea","Article","ISI","no","NA","NA"
"The Two Sides of the Mediterranean: Population Genomics of the Black Sea Urchin Arbacia lixula (Linnaeus, 1758) in a Warming Sea","10.3389/fmars.2021.739008","Carreras, C; Ordonez, V; Garcia-Cisneros, A; Wangensteen, OS; Palacin, C; Pascual, M; Turon, X","Global environmental changes may have a profound impact on ecosystems. In this context, it is crucial to gather biological and ecological information of the main species in marine communities to predict and mitigate potential effects of shifts in their distribution, abundance, and interactions. Using genotyping by sequencing (GBS), we assessed the genetic structure of a keystone species in the Mediterranean shallow littoral ecosystems, the black sea urchin Arbacia lixula. This bioengineer species can shape their communities due to its grazing activity and it is experiencing an ongoing expansion with increasing temperatures. The population genomic analyses on 5,241 loci sequenced in 240 individuals from 11 Mediterranean sampled populations revealed that all populations were diverse and showed significant departure from equilibrium. Albeit genetic differentiation was in general shallow, a significant break separated the western and eastern Mediterranean populations, a break not detected in previous studies with less resolutive markers. Notably, no clear effect of the Almeria-Oran front, an important break in the Atlanto-Mediterranean transition, could be detected among the western basin populations, where only a slight differentiation of the two northernmost populations was found. Despite the generally low levels of genetic differentiation found, we identified candidate regions for local adaptation by combining different genomic analysis with environmental data. Salinity, rather than temperature, seemed to be an important driver of genetic structure in A. lixula. Overall, from a population genomics standpoint, there is ample scope for A. lixula to continue thriving and adapting in the warming Mediterranean.",2021,"benthic communities; engineer species; genotyping by sequencing (gbs); population genomics; sea urchin; outlier analysis","Article","ISI","no","NA","NA"
"Population genomics meet Lagrangian simulations: Oceanographic patterns and long larval duration ensure onnectivity among Paracentrotus lividus populations in the Adriatic and Ionian seas","10.1002/ece3.2844","Paterno, M; Schiavina, M; Aglieri, G; Ben Souissi, J; Boscari, E; Casagrandi, R; Chassanite, A; Chiantore, M; Congiu, L; Guarnieri, G; Kruschel, C; Macic, V; Marino, IAM; Papetti, C; Patarnello, T; Zane, L; Melia, P","Connectivity between populations influences both their dynamics and the genetic structuring of species. In this study, we explored connectivity patterns of a marine species with long-distance dispersal, the edible common sea urchin Paracentrotus lividus, focusing mainly on the Adriatic-Ionian basins (Central Mediterranean). We applied a multidisciplinary approach integrating population genomics, based on 1,122 single nucleotide polymorphisms (SNPs) obtained from 2b-RAD in 275 samples, with Lagrangian simulations performed with a biophysical model of larval dispersal. We detected genetic homogeneity among eight population samples collected in the focal Adriatic-Ionian area, whereas weak but significant differentiation was found with respect to two samples from the Western Mediterranean (France and Tunisia). This result was not affected by the few putative outlier loci identified in our dataset. Lagrangian simulations found a significant potential for larval exchange among the eight Adriatic-Ionian locations, supporting the hypothesis of connectivity of P.lividus populations in this area. A peculiar pattern emerged from the comparison of our results with those obtained from published P.lividus cytochrome b (cytb) sequences, the latter revealing genetic differentiation in the same geographic area despite a smaller sample size and a lower power to detect differences. The comparison with studies conducted using nuclear markers on other species with similar pelagic larval durations in the same Adriatic-Ionian locations indicates species-specific differences in genetic connectivity patterns and warns against generalizing single-species results to the entire community of rocky shore habitats.",2017,"2b-rad; biophysical models; population genomics; sea urchin; seascape genetics; snps","Article","ISI","no","NA","NA"
"Genomic Assessment of Global Population Structure in a Highly Migratory and Habitat Versatile Apex Predator, the Tiger Shark (Galeocerdo cuvier)","10.1093/jhered/esab046","Bernard, AM; Finnegan, KA; Bitar, PP; Stanhope, MJ; Shivji, MS","Understanding the population dynamics of highly mobile, widely distributed, oceanic sharks, many of which are overexploited, is necessary to aid their conservation management. We investigated the global population genomics of tiger sharks (Galeocerdo cuvier), a circumglobally distributed, apex predator displaying remarkable behavioral versatility in its diet, habitat use (near coastal, coral reef, pelagic), and individual movement patterns (spatially resident to long-distance migrations). We genotyped 242 tiger sharks from 10 globally distributed locations at more than 2000 single nucleotide polymorphisms. Although this species often conducts massive distance migrations, the data show strong genetic differentiation at both neutral (FST = 0.125-0.144) and candidate outlier loci (F-ST = 0.570-0.761) between western Atlantic and Indo-Pacific sharks, suggesting the potential for adaptation to the environments specific to these oceanic regions. Within these regions, there was mixed support for population differentiation between northern and southern hemispheres in the western Atlantic, and none for structure within the Indian Ocean. Notably, the results demonstrate a low level of population differentiation of tiger sharks from the remote Hawaiian archipelago compared with sharks from the Indian Ocean (F-ST = 0.003-0.005, P < 0.01). Given concerns about biodiversity loss and marine ecosystem impacts caused by overfishing of oceanic sharks in the midst of rapid environmental change, our results suggest it imperative that international fishery management prioritize conservation of the evolutionary potential of the highly genetically differentiated Atlantic and Indo-Pacific populations of this unique apex predator. Furthermore, we suggest targeted management attention to tiger sharks in the Hawaiian archipelago based on a precautionary biodiversity conservation perspective.",2021,"genetic adaptation; genetic connectivity; elasmobranch; single nucleotide polymorphism","Article","ISI","no","NA","NA"
"Population Genomic Analyses of the Sea Urchin Echinometra sp. EZ across an Extreme Environmental Gradient","10.1093/gbe/evaa150","Ketchum, RN; Smith, EG; DeBiasse, MB; Vaughan, GO; McParland, D; Leach, WB; Al-Mansoori, N; Ryan, JF; Burt, JA; Reitzel, AM","Extreme environmental gradients represent excellent study systems to better understand the variables that mediate patterns of genomic variation between populations. They also allow for more accurate predictions of how future environmental change might affect marine species. The Persian/Arabian Gulf is extreme in both temperature and salinity, whereas the adjacent Gulf of Oman has conditions more typical of tropical oceans. The sea urchin Echinometra sp. EZ inhabits both of these seas and plays a critical role in coral reef health as a grazer and bioeroder, but, to date, there have been no population genomic studies on this or any urchin species in this unique region. E sp. EZ's life history traits (e.g., large population sizes, large reproductive clutches, and long life spans), in theory, should homogenize populations unless nonneutral processes are occurring. Here, we generated a draft genome and a restriction site-associated DNA sequencing data set from seven populations along an environmental gradient across the Persian/Arabian Gulf and the Gulf of Oman. The estimated genome size of E. sp. EZ was 609 Mb and the heterozygosity was among the highest recorded for an echinoderm at 4.5%. We recovered 918 high-quality SNPs from 85 individuals which we then used in downstream analyses. Population structure analyses revealed a high degree of admixture between all sites, although there was population differentiation and significant pairwise F-ST values between the two seas. Preliminary results suggest migration is bidirectional between the seas and nine candidate loci were identified as being under putative natural selection, including one collagen gene. This study is the first to investigate the population genomics of a sea urchin from this extreme environmental gradient and is an important contribution to our understanding of the complex spatial patterns that drive genomic divergence.",2020,"echinometra sp. ez; persian/arabian gulf; rad-seq; draft genome assembly; population dynamics; extreme environments","Article","ISI","no","NA","NA"
"Thermal adaptation rather than demographic history drives genetic structure inferred by copy number variants in a marine fish","10.1111/mec.15835","Cayuela, H; Dorant, Y; Merot, C; Laporte, M; Normandeau, E; Gagnon-Harvey, S; Clement, M; Sirois, P; Bernatchez, L","Increasing evidence shows that structural variants represent an overlooked aspect of genetic variation with consequential evolutionary roles. Among those, copy number variants (CNVs), including duplicated genomic regions and transposable elements (TEs), may contribute to local adaptation and/or reproductive isolation among divergent populations. Those mechanisms suppose that CNVs could be used to infer neutral and/or adaptive population genetic structure, whose study has been restricted to microsatellites, mitochondrial DNA and Amplified fragment length polymorphism markers in the past and more recently the use of single nucleotide polymorphisms (SNPs). Taking advantage of recent developments allowing CNV analysis from RAD-seq data, we investigated how variation in fitness-related traits, local environmental conditions and demographic history are associated with CNVs, and how subsequent copy number variation drives population genetic structure in a marine fish, the capelin (Mallotus villosus). We collected 1538 DNA samples from 35 sampling sites in the north Atlantic Ocean and identified 6620 putative CNVs. We found associations between CNVs and the gonadosomatic index, suggesting that six duplicated regions could affect female fitness by modulating oocyte production. We also detected 105 CNV candidates associated with water temperature, among which 20% corresponded to genomic regions located within the sequence of protein-coding genes, suggesting local adaptation to cold water by means of gene sequence amplification. We also identified 175 CNVs associated with the divergence of three previously defined parapatric glacial lineages, of which 24% were located within protein-coding genes, making those loci potential candidates for reproductive isolation. Lastly, our analyses unveiled a hierarchical, complex CNV population structure determined by temperature and local geography, which was in stark contrast to that inferred based on SNPs in a previous study. Our findings underline the complementarity of those two types of genomic variation in population genomics studies.",2021,"copy number variants; fish; local adaptation; population genetic structure; reproductive isolation; structural variants; transposable elements","Article","ISI","no","NA","NA"
"Genome-wide analysis reveals striking lack of genetic differentiation over long distances for the Antarctic toothfish Dissostichus mawsoni: High genetic connectivity or shared spawning grounds?","10.1016/j.fishres.2021.106074","Ceballos S.G., Papetti C., Babbucci M., Fernández D.A., Schiavon L., Cheng C.-H.C.","The giant Antarctic toothfish Dissostichus mawsoni is one of the most economically valued fishery resources from the Southern Ocean. However, the distinctive biological characteristics and life history of this species, including large body size, long life span, late sexual maturity, and specialization to freezing polar waters, make it particularly vulnerable to overfishing and global climate change. It is therefore of fundamental importance to administer sound management and conservation actions to avoid depletion of this unique species. The crucial issue of whether this species consists of distinct biological units or stocks, which is needed to inform appropriate management and conservation, is currently unresolved. We report here the first RAD-seq analysis of Antarctic toothfish populations, a powerful approach of genome-wide discovery of SNP loci, to assess genetic differentiation between the geographically distant individuals from CCAMLAR Subarea 48.1 locations (South Shetland Islands and West Antarctic Peninsula coasts) and Subarea 88.1 (Ross Sea and McMurdo Sound). We recovered 19,611 SNPs belonging to 13,251 widely shared loci. Comprehensive population structure analyses unambiguously indicated absence of any significant level of population differentiation, thus the null hypothesis of panmixia cannot be rejected. Together with currently known life history traits of D. mawsoni, we suggest this striking lack of genomic differentiation likely reflects high degrees of contemporary and/or historical gene flow rather than shared spawning grounds. Complementary analyses, particularly otolith microchemistry, would contribute useful inference of natal origins. © 2021 Elsevier B.V.",2021,"dissostichus mawsoni; population genomics; rad-seq; stock structure","Article","SCOPUS","no","NA","NA"
"Disentangling complex genomic signals to understand population structure of an exploited, estuarine-dependent flatfish","10.1002/ece3.8064","O'Leary S.J., Hollenbeck C.M., Vega R.R., Portnoy D.S.","Interpreting contemporary patterns of population structure requires an understanding of the interactions among microevolutionary forces and past demographic events. Here, 4,122 SNP-containing loci were used to assess structure in southern flounder (Paralichthys lethostigma) sampled across its range in the US Atlantic Ocean (Atlantic) and Gulf of Mexico (Gulf) and relationships among components of genomic variation and spatial and environmental variables were assessed across estuarine population samples in the Gulf. While hierarchical Amova revealed significant heterogeneity within and between the Atlantic and Gulf, pairwise comparisons between samples within ocean basins demonstrated that all significant heterogeneity occurred within the Gulf. The distribution of Tajima's D estimated at a genome-wide scale differed significantly from equilibrium in all estuaries, with more negative values occurring in the Gulf. Components of genomic variation were significantly associated with environmental variables describing individual estuaries, and environment explained a larger component of variation than spatial proximity. Overall, results suggest that there is genetic spatial autocorrelation caused by shared larval sources for proximal nurseries (migration/drift), but that it is modified by environmentally driven differentiation (selection). This leads to conflicting signals in different parts of the genome and creates patterns of divergence that do not correspond to paradigms of strong local directional selection. © 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2021,"genetic-environmental association; local adaptation; population genomics","Article","SCOPUS","no","NA","NA"
"Identification of putative key genes for thermal adaptation in the Japanese mantis shrimp (Oratosquilla oratoria) through population genomic analysis","10.1016/j.cbd.2021.100828","Lou F., Gao T., Han Z.","Little is known about the mechanisms underlying the relationship between genetic variation and the adaptation of Oratosquilla oratoria populations to different habitat temperature. Here, the genome-wide genetic information of three O. oratoria populations were obtained by IIB restriction site-associated DNA (2b-RAD) sequencing and 2403 single-nucleotide polymorphisms (SNPs) were identified. Based on the 2403 SNPs, we found a remarkable genetic differentiation between the Yellow Sea and the East China Sea groups of O. oratoria. Furthermore, 63 SNPs are thought to be associated with different sea temperatures. Based on the 63 SNPs, it is hypothesised that the long-term temperature differences may contribute to the variation of genes associated with multiple biological functions, such as material metabolism, cytoskeleton, cellular processes, inflammatory response and hormonal regulation. This study provides new information for elucidating the molecular mechanisms underlying the relationship between genetic variation and the adaptation of Oratosquilla oratoria populations to different temperature. © 2021 Elsevier Inc.",2021,"2b-rad; oratosquilla oratoria; population differentiation; temperature adaptation","Article","SCOPUS","no","NA","NA"
"Genomic signatures of spatially divergent selection at clownfish range margins","10.1098/rspb.2021.0407","Clark R.D., Aardema M.L., Andolfatto P., Barber P.H., Hattori A., Hoey J.A., Montes H.R., Pinsky M.L.","Understanding how evolutionary forces interact to drive patterns of selection and distribute genetic variation across a species' range is of great interest in ecology and evolution, especially in an era of global change. While theory predicts how and when populations at range margins are likely to undergo local adaptation, empirical evidence testing these models remains sparse. Here, we address this knowledge gap by investigating the relationship between selection, gene flow and genetic drift in the yellowtail clownfish, Amphiprion clarkii, from the core to the northern periphery of the species range. Analyses reveal low genetic diversity at the range edge, gene flow from the core to the edge and genomic signatures of local adaptation at 56 single nucleotide polymorphisms in 25 candidate genes, most of which are significantly correlated with minimum annual sea surface temperature. Several of these candidate genes play a role in functions that are upregulated during cold stress, including protein turnover, metabolism and translation. Our results illustrate how spatially divergent selection spanning the range core to the periphery can occur despite the potential for strong genetic drift at the range edge and moderate gene flow from the core populations. © 2021 The Author(s).",2021,"clownfish; local adaptation; range margin; spatially divergent selection","Article","SCOPUS","no","NA","NA"
"Local environment-driven adaptive evolution in a marine invasive ascidian (Molgula manhattensis)","10.1002/ece3.7322","Chen Y., Gao Y., Huang X., Li S., Zhan A.","Elucidating molecular mechanisms of environment-driven adaptive evolution in marine invaders is crucial for understanding invasion success and further predicting their future invasions. Although increasing evidence suggests that adaptive evolution could contribute to organisms’ adaptation to varied environments, there remain knowledge gaps regarding how environments influence genomic variation in invaded habitats and genetic bases underlying local adaptation for most marine invaders. Here, we performed restriction-site-associated DNA sequencing (RADseq) to assess population genetic diversity and further investigate genomic signatures of local adaptation in the marine invasive ascidian, Molgula manhattensis. We revealed that most invasive populations exhibited significant genetic differentiation, low recent gene flow, and no signal of significant population bottleneck. Based on three genome scan approaches, we identified 109 candidate loci potentially under environmental selection. Redundancy analysis and variance partitioning analysis suggest that local environmental factors, particularly the salinity-related variables, represent crucial evolutionary forces in driving adaptive divergence. Using the newly developed transcriptome as a reference, 14 functional genes were finally obtained with potential roles in salinity adaptation, including SLC5A1 and SLC9C1 genes from the solute carrier gene (SLC) superfamily. Our findings confirm that differed local environments could rapidly drive adaptive divergence among invasive populations and leave detectable genomic signatures in marine invaders. © 2021 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2021,"adaptive evolution; biological invasion; population genomics; radseq; salinity adaptation","Article","SCOPUS","no","NA","NA"
"Adaptive markers distinguish North and South Pacific Albacore amid low population differentiation","10.1111/eva.13202","Vaux F., Bohn S., Hyde J.R., O'Malley K.G.","Albacore (Thunnus alalunga) support an economically valuable global fishery, but surprisingly little is known about the population structure of this highly migratory species. Physical tagging data suggest that Albacore from the North and South Pacific Ocean are separate stocks, but results from previous genetic studies did not support this two stock hypothesis. In addition, observed biological differences among juveniles suggest that there may be population substructure in the North Pacific. We used double-digest restriction site-associated DNA sequencing to assess population structure among 308 Albacore caught in 12 sample areas across the Pacific Ocean (10 North, 2 South). Since Albacore are highly migratory and spawning areas are unknown, sample groups were not assumed to be equivalent to populations and the genetic data were analyzed iteratively. We tested for putatively adaptive differences among groups and for genetic variation associated with sex. Results indicated that Albacore in the North and South Pacific can be distinguished using 84 putatively adaptive loci, but not using the remaining 12,788 presumed neutral sites. However, two individuals likely represent F1 hybrids between the North and South Pacific populations, and 43 Albacore potentially exhibit lower degrees of mixed ancestry. In addition, four or five cross-hemisphere migrants were potentially identified. No genetic evidence was found for population substructure within the North Pacific, and no loci appeared to distinguish males from females. Potential functions for the putatively adaptive loci were identified, but an annotated Albacore genome is required for further exploration. Future research should try to locate spawning areas so that life history, demography, and genetic population structure can be linked and spatiotemporal patterns can be investigated. © 2021 The Authors. Evolutionary Applications published by John Wiley & Sons Ltd",2021,"adaptation; genome; highly migratory species; population genetic; radseq; seascape genomics","Article","SCOPUS","no","NA","NA"
"Concordant geographic and genetic structure revealed by genotyping-by-sequencing in a New Zealand marine isopod","10.1002/ece3.6802","Pearman W.S., Wells S.J., Silander O.K., Freed N.E., Dale J.","Population genetic structure in the marine environment can be influenced by life-history traits such as developmental mode (biphasic, with distinct adult and larval morphology, and direct development, in which larvae resemble adults) or habitat specificity, as well as geography and selection. Developmental mode is thought to significantly influence dispersal, with direct developers expected to have much lower dispersal potential. However, this prediction can be complicated by the presence of geophysical barriers to dispersal. In this study, we use a panel of 8,020 SNPs to investigate population structure and biogeography over multiple spatial scales for a direct-developing species, the New Zealand endemic marine isopod Isocladus armatus. Because our sampling range is intersected by two well-known biogeographic barriers (the East Cape and the Cook Strait), our study provides an opportunity to understand how such barriers influence dispersal in direct developers. On a small spatial scale (20 km), gene flow between locations is extremely high, suggestive of an island model of migration. However, over larger spatial scales (600 km), populations exhibit a clear pattern of isolation-by-distance. Our results indicate that I. armatus exhibits significant migration across the hypothesized barriers and suggest that large-scale ocean currents associated with these locations do not present a barrier to dispersal. Interestingly, we find evidence of a north-south population genetic break occurring between Mahia and Wellington. While no known geophysical barrier is apparent in this area, it coincides with the location of a proposed border between bioregions. Analysis of loci under selection revealed that both isolation-by-distance and adaption may be contributing to the degree of population structure we have observed here. We conclude that developmental life history largely predicts dispersal in the intertidal isopod I. armatus. However, localized biogeographic processes can disrupt this expectation, and this may explain the potential meta-population detected in the Auckland region. © 2020 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",2020,"evolution; genetics; genomics; genotyping-by-sequencing; isolation-by-adaptation; isolation-by-distance; isopod; population; radseq","Article","SCOPUS","no","NA","NA"
"Fine-scale population structure and evidence for local adaptation in Australian giant black tiger shrimp (Penaeus monodon) using SNP analysis","10.1186/s12864-020-07084-x","Vu N.T.T., Zenger K.R., Guppy J.L., Sellars M.J., Silva C.N.S., Kjeldsen S.R., Jerry D.R.","Background: Restrictions to gene flow, genetic drift, and divergent selection associated with different environments are significant drivers of genetic differentiation. The black tiger shrimp (Penaeus monodon), is widely distributed throughout the Indian and Pacific Oceans including along the western, northern and eastern coastline of Australia, where it is an important aquaculture and fishery species. Understanding the genetic structure and the influence of environmental factors leading to adaptive differences among populations of this species is important for farm genetic improvement programs and sustainable fisheries management. Results: Based on 278 individuals obtained from seven geographically disparate Australian locations, 10,624 high-quality SNP loci were used to characterize genetic diversity, population structure, genetic connectivity, and adaptive divergence. Significant population structure and differentiation were revealed among wild populations (average F ST = 0.001-0.107; p < 0.05). Eighty-nine putatively outlier SNPs were identified to be potentially associated with environmental variables by using both population differentiation (BayeScan and PCAdapt) and environmental association (redundancy analysis and latent factor mixed model) analysis methods. Clear population structure with similar spatial patterns were observed in both neutral and outlier markers with three genetically distinct groups identified (north Queensland, Northern Territory, and Western Australia). Redundancy, partial redundancy, and multiple regression on distance matrices analyses revealed that both geographical distance and environmental factors interact to generate the structure observed across Australian P. monodon populations. Conclusion: This study provides new insights on genetic population structure of Australian P. monodon in the face of environmental changes, which can be used to advance sustainable fisheries management and aquaculture breeding programs. © 2020 The Author(s).",2020,"aquaculture; functional annotation; genotype-environment interaction; population genetics; prawn","Article","SCOPUS","no","NA","NA"
"Shared ancestral polymorphisms and chromosomal rearrangements as potential drivers of local adaptation in a marine fish","10.1111/mec.15499","Cayuela H., Rougemont Q., Laporte M., Mérot C., Normandeau E., Dorant Y., Tørresen O.K., Hoff S.N.K., Jentoft S., Sirois P., Castonguay M., Jansen T., Praebel K., Clément M., Bernatchez L.","Gene flow has tremendous importance for local adaptation, by influencing the fate of de novo mutations, maintaining standing genetic variation and driving adaptive introgression. Furthermore, structural variation as chromosomal rearrangements may facilitate adaptation despite high gene flow. However, our understanding of the evolutionary mechanisms impending or favouring local adaptation in the presence of gene flow is still limited to a restricted number of study systems. In this study, we examined how demographic history, shared ancestral polymorphism, and gene flow among glacial lineages contribute to local adaptation to sea conditions in a marine fish, the capelin (Mallotus villosus). We first assembled a 490-Mbp draft genome of M. villosus to map our RAD sequence reads. Then, we used a large data set of genome-wide single nucleotide polymorphisms (25,904 filtered SNPs) genotyped in 1,310 individuals collected from 31 spawning sites in the northwest Atlantic. We reconstructed the history of divergence among three glacial lineages and showed that they probably diverged from 3.8 to 1.8 million years ago and experienced secondary contacts. Within each lineage, our analyses provided evidence for large Ne and high gene flow among spawning sites. Within the Northwest Atlantic lineage, we detected a polymorphic chromosomal rearrangement leading to the occurrence of three haplogroups. Genotype–environment associations revealed molecular signatures of local adaptation to environmental conditions prevailing at spawning sites. Our study also suggests that both shared polymorphisms among lineages, resulting from standing genetic variation or introgression, and chromosomal rearrangements may contribute to local adaptation in the presence of high gene flow. © 2020 John Wiley & Sons Ltd",2020,"fish; inversion; joint site frequency spectrum; mallotus villosus; population genomics; rad; speciation; dadi","Article","SCOPUS","no","chromosome invertion","NA"
"Oceanic and coastal populations of a harvested macroinvertebrate Rochia nilotica in north-western Australia are isolated and may be locally adapted","10.1071/MF19172","Berry O., Richards Z., Moore G., Hernawan U., Travers M., Gruber B.","Marine macroinvertebrates support important fisheries throughout the Indo-Pacific, but stocks of species such as trochus (Rochia nilotica) are easily overharvested. In north-western Australia, trochus are taken from inshore reefs by Indigenous Australians and oceanic reefs by artisanal Indonesian fishers. The management of these environmentally distinct regions relies on understanding their spatial interdependencies, yet connectivity between them has not been evaluated empirically. Here, we used genotype-by-sequencing analysis of 514 trochus samples collected from 17 locations (15 in the inshore Kimberley, 2 offshore oceanic sites). Analysis of 5428 polymorphic single nucleotide polymorphism loci revealed significant genetic subdivision between the oceanic and coastal sites, and a subset of loci exhibited significantly higher subdivision, suggesting they are subject to directional selection. Population differentiation was also evident between the two oceanic sites, but not between coastal sites. Trochus populations from the coastal Kimberley and oceanic reefs represent two genetically and demographically independent units, with preliminary evidence for local adaptation to these distinctive environments. Management strategies for R. nilotica reflect these divisions, but the limited connectivity among oceanic populations indicates that they are vulnerable to overexploitation. Furthermore, their potential adaptive distinctiveness indicates that coastal stocks may be unsuitable for replenishing oceanic stocks. © 2020 CSIRO.",2020,"fisheries management; genomic; population connectivity; tectus; trochus","Article","SCOPUS","no","NA","NA"
"Population Genomics Reveals Shallow Genetic Structure in a Connected and Ecologically Important Fish From the Northwestern Pacific Ocean","10.3389/fmars.2020.00374","Zhang B.-D., Li Y.-L., Xue D.-X., Liu J.-X.","Genetic variation at the genomic level is invaluable to identify fish stock structure in fisheries management. It has been widely accepted that populations of marine fishes are highly connected owing to fewer barriers to gene flow and increased connectivity resulting from greater dispersal abilities. Since population genomic approaches have increased the accessibility and resolution of population genetic data, it further facilitates to study and detect previously unidentified structures as well as signatures for natural selection in wild populations. In the present study, restriction-site associated DNA (RAD) sequencing was applied to the samples of genome-wide single nucleotide polymorphisms (SNPs) of Engraulis japonicus, a small pelagic fish of ecological and economic importance in the northwestern Pacific. To assess population genetic structure as well as detection for local adaptation of E. japonicus, a total of 389 individuals from six regional populations of the northwestern Pacific were collected and a set of 12,627 SNPs was developed. Marginal significant genetic structure (average FST value was approximately equal to 0.002) was detected between regional populations of “the Bohai Sea population (BHS)” and the “the Japan Sea population (JPS)” as well as between “the North Yellow Sea population (NYS),” and the “the Japan Sea population (JPS)”. Moreover, no sign of local adaptation was detected, which might be the product of high gene flow among regional populations. Overall, our results improve the understanding of fine-scale population genetic structure in E. japonicus and potentially identify management unit in this species. © Copyright © 2020 Zhang, Li, Xue and Liu.",2020,"engraulis japonicus; genetic structures; population genomics; rad-seq; single nucleotide polymorphism","Article","SCOPUS","no","NA","NA"
"Divergent northern and southern populations and demographic history of the pearl oyster in the western Pacific revealed with genomic SNPs","10.1111/eva.12905","Takeuchi T., Masaoka T., Aoki H., Koyanagi R., Fujie M., Satoh N.","In the open ocean without terrain boundaries, marine invertebrates with pelagic larvae can migrate long distances using ocean currents, suggesting reduced genetic diversification. Contrary to this assumption, however, genetic differentiation is often observed in marine invertebrates. In the present study, we sought to explain how population structure is established in the western Pacific Ocean, where the strong Kuroshio Current maintains high levels of gene flow from south to north, presumably promoting genetic homogeneity. We determined the population structure of the pearl oyster, Pinctada fucata, in the Indo-Pacific Ocean using genome-wide genotyping data from multiple sampling localities. Cluster analysis showed that the western Pacific population is distinct from that of the Indian Ocean, and that it is divided into northern (Japanese mainland) and southern (Nansei Islands, China, and Cambodia) populations. Genetic differentiation of P. fucata can be explained by geographic barriers in the Indian Ocean and a local lagoon, and by environmental gradients of sea surface temperature (SST) and oxygen concentration in the western Pacific. A genome scan showed evidence of adaptive evolution in genomic loci, possibly associated with changes in environmental factors, including SST and oxygen concentration. Furthermore, Bayesian simulation demonstrated that the past population expansion and division are congruent with ocean warming after the last glacial period. It is highly likely that the environmental gradient forms a genetic barrier that diversifies P. fucata populations in the western Pacific. This hypothesis helps to explain genetic differentiation and possible speciation of marine invertebrates. © 2019 The Authors. Evolutionary Applications published by John Wiley & Sons Ltd.",2020,"adaptation; genetic resource; genotyping by sequencing; pearl oyster; pinctada fucata; population genomics","Article","SCOPUS","no","NA","NA"
