"Title","DOI","Authors","Abstract","Year","Keywords","Type","database"
"Population and seascape genomics of a critically endangered benthic elasmobranch, the blue skate Dipturus batis","10.1111/eva.13327","Delaval, A; Frost, M; Bendall, V; Hetherington, SJ; Stirling, D; Hoarau, G; Jones, CS; Noble, LR","The blue skate (Dipturus batis) has a patchy distribution across the North-East Atlantic Ocean, largely restricted to occidental seas around the British Isles following fisheries-induced population declines and extirpations. The viability of remnant populations remains uncertain and could be impacted by continued fishing and by-catch pressure, and the projected impacts of climate change. We genotyped 503 samples of D. batis, obtained opportunistically from the widest available geographic range, across 6 350 single nucleotide polymorphisms (SNPs) using a reduced-representation sequencing approach. Genotypes were used to assess the species' contemporary population structure, estimate effective population sizes and identify putative signals of selection in relation to environmental variables using a seascape genomics approach. We identified genetic discontinuities between inshore (British Isles) and offshore (Rockall and Faroe Island) populations, with differentiation most pronounced across the deep waters of the Rockall Trough. Effective population sizes were largest in the Celtic Sea and Rockall, but low enough to be of potential conservation concern among Scottish and Faroese sites. Among the 21 candidate SNPs under positive selection was one significantly correlated with environmental variables predicted to be affected by climate change, including bottom temperature, salinity and pH. The paucity of well-annotated elasmobranch genomes precluded us from identifying a putative function for this SNP. Nevertheless, our findings suggest that climate change could inflict a strong selective force upon remnant populations of D. batis, further constraining its already-restricted habitat. Furthermore, the results provide fundamental insights on the distribution, behaviour and evolutionary biology of D. batis in the North-East Atlantic that will be useful for the establishment of conservation actions for this and other critically endangered elasmobranchs.",2022,"blue skate; climate change; conservation; dipturus batis; population genomics; seascape genomics","Article","ISI"
"Marine genome resource sustainability in Central America","10.2225/vol15-issue5-fulltext-14","Huete-Perez, JA; Roberts, RJ; Quezada, F","In an effort to raise awareness of the major environmental challenges facing the region's coastal and marine ecosystems, and to highlight the potential research and socioeconomic benefits of this program, the authors provide summaries of key lectures and conclusions presented in the international conference on Central American Marine Biodiversity and Genomics, in April of 2012, dedicated to Genomic Archiving and Coastal Marine Biodiversity Exploration, Conservation and Sustainable Development, and describe the main components of the initiative for the benefit of other actors, stakeholders and donors in the field of marine biodiversity.",2012,"central american marine genomic initiative; marine biodiversity","Article","ISI"
"Genomic Approaches in Marine Biodiversity and Aquaculture","10.4067/S0716-97602013000400007","Huete-Perez, JA; Quezada, F","Recent advances in genomic and post-genomic technologies have now established the new standard in medical and biotechnological research. The introduction of next-generation sequencing, NGS,has resulted in the generation of thousands of genomes from all domains of life, including the genomes of complex uncultured microbial communities revealed through metagenomics. Although the application of genomics to marine biodiversity remains poorly developed overall, some noteworthy progress has been made in recent years. The genomes of various model marine organisms have been published and a few more are underway. In addition, the recent large-scale analysis of marine microbes, along with transcriptomic and proteomic approaches to the study of teleost fishes, mollusks and crustaceans, to mention a few, has provided a better understanding of phenotypic variability and functional genomics. The past few years-have also seen advances in applications relevant to marine aquaculture and fisheries. In this review we introduce several examples of recent discoveries and progress made towards engendering genomic resources aimed at enhancing our understanding of marine biodiversity and promoting the development of aquaculture. Finally, we discuss the need for auspicious science policies to address challenges confronting smaller nations in the appropriate oversight of this growing domain as they strive to guarantee food security and conservation of their natural resources.",2013,"aquaculture; genomics; marine biodiversity; next-generation sequencing, proteomics","Article","ISI"
"Comparative metagenomics of microbial traits within oceanic viral communities","10.1038/ismej.2011.2","Sharon, I; Battchikova, N; Aro, EM; Giglione, C; Meinnel, T; Glaser, F; Pinter, RY; Breitbart, M; Rohwer, F; Beja, O","Viral genomes often contain genes recently acquired from microbes. In some cases (for example, psbA) the proteins encoded by these genes have been shown to be important for viral replication. In this study, using a unique search strategy on the Global Ocean Survey (GOS) metagenomes in combination with marine virome and microbiome pyrosequencing-based datasets, we characterize previously undetected microbial metabolic capabilities concealed within the genomes of uncultured marine viral communities. A total of 34 microbial gene families were detected on 452 viral GOS scaffolds. The majority of auxiliary metabolic genes found on these scaffolds have never been reported in phages. Host genes detected in viruses were mainly divided between genes encoding for different energy metabolism pathways, such as electron transport and newly identified photosystem genes, or translation and post-translation mechanism related. Our findings suggest previously undetected ways, in which marine phages adapt to their hosts and improve their fitness, including translation and post-translation level control over the host rather than the already known transcription level control. The ISME Journal (2011) 5, 1178-1190; doi:10.1038/ismej.2011.2; published online 10 February 2011 Subject Category: integrated genomics and post-genomics approaches in microbial ecology",2011,"cyanophage; gene transfer; metagenomics; photosynthesis; viral-host interactions","Article","ISI"
"Seascape genomics provides evidence for thermal adaptation and current-mediated population structure in American lobster (Homarus americanus)","10.1111/mec.13811","Benestan, L; Quinn, BK; Maaroufi, H; Laporte, M; Clark, FK; Greenwood, SJ; Rochette, R; Bernatchez, L","Investigating how environmental features shape the genetic structure of populations is crucial for understanding how they are potentially adapted to their habitats, as well as for sound management. In this study, we assessed the relative importance of spatial distribution, ocean currents and sea surface temperature (SST) on patterns of putatively neutral and adaptive genetic variation among American lobster from 19 locations using population differentiation (PD) approaches combined with environmental association (EA) analyses. First, PD approaches (using BAYESCAN, ARLEQUIN and OUTFLANK) found 28 outlier SNPs putatively under divergent selection and 9770 neutral SNPs in common. Redundancy analysis revealed that spatial distribution, ocean current-mediated larval connectivity and SST explained 31.7% of the neutral genetic differentiation, with ocean currents driving the majority of this relationship (21.0%). After removing the influence of spatial distribution, no SST were significant for putatively neutral genetic variation whereas minimum annual SST still had a significant impact and explained 8.1% of the putatively adaptive genetic variation. Second, EA analyses (using Pearson correlation tests, BAYESCENV and LFMM) jointly identified seven SNPs as candidates for thermal adaptation. Covariation at these SNPs was assessed with a spatial multivariate analysis that highlighted a significant temperature association, after accounting for the influence of spatial distribution. Among the 505 candidate SNPs detected by at least one of the three approaches, we discovered three polymorphisms located in genes previously shown to play a role in thermal adaptation. Our results have implications for the management of the American lobster and provide a foundation on which to predict how this species will cope with climate change.",2016,"candidate gene; larval dispersal; marine invertebrate; radseq; seascape genetics; thermal adaptation","Article","ISI"
"BiMFG: BIOINFORMATICS TOOLS FOR MARINE AND FRESHWATER SPECIES","10.1142/S0219720010005105","Shih, TH; Chen, CM; Wang, HW; Pai, TW; Chang, HT","Biomolecule sequences and structures of land, air and water species are determined rapidly and the data entries are unevenly distributed for different organisms. It frequently leads to the BLAST results of homologous search containing undesirable entries from organisms living in different environments. To reduce irrelevant searching results, a separate database for comparative genomics is urgently required. A comprehensive bioinformatics tool set and an integrated database, named Bioinformatics tools for Marine and Freshwater Genomics (BiMFG), are constructed for comparative analyses among model species and underwater species. Novel matching techniques based on conserved motifs and/or secondary structure elements are designed for efficiently and effectively retrieving and aligning remote sequences through cross-species comparisons. It is especially helpful when sequences under analysis possess low similarities and unresolved structural information. In addition, the system provides core techniques of multiple sequence alignment, multiple second structure profile alignment and iteratively refined multiple structural alignments for biodiversity analysis and verification in marine and freshwater biology. The BiMFG web server is freely available for use at http://bimfg.cs.ntou.edu.tw/.",2010,"marine genomics; freshwater genomics; ocean genomics; multiple sequence alignment; secondary structure profile; multiple structure alignment; protein matching; cross-species comparison","Article","ISI"
"Transcriptomic resources for environmental risk assessment: a case study in the Venice lagoon","10.1016/j.envpol.2014.12.005","Milan, M; Pauletto, M; Boffo, L; Carrer, C; Sorrentino, F; Ferrari, G; Pavan, L; Patarnello, T; Bargelloni, L","The development of new resources to evaluate the environmental status is becoming increasingly important representing a key challenge for ocean and coastal management. Recently, the employment of transcriptomics in aquatic toxicology has led to increasing initiatives proposing to integrate ecotoxicogenomics in the evaluation of marine ecosystem health. However, several technical issues need to be addressed before introducing genomics as a reliable tool in regulatory ecotoxicology. The Venice lagoon constitutes an excellent case, in which the assessment of environmental risks derived from the nearby industrial activities represents a crucial task. In this context, the potential role of genomics to assist environmental monitoring was investigated through the definition of reliable gene expression markers associated to chemical contamination in Manila clams, and their subsequent employment for the classification of Venice lagoon areas. Overall, the present study addresses key issues to evaluate the future outlooks of genomics in the environmental monitoring and risk assessment. (C) 2014 Elsevier Ltd. All rights reserved.",2015,"environmental risk assessment; genomics; venice lagoon; ruditapes philippinarum; good environmental status","Article","ISI"
"Fine-scale seascape genomics of an exploited marine species, the common cockle Cerastoderma edule, using a multimodelling approach","10.1111/eva.12932","Coscia, I; Wilmes, SB; Ironside, JE; Goward-Brown, A; O'Dea, E; Malham, SK; McDevitt, AD; Robins, PE","Population dynamics of marine species that are sessile as adults are driven by oceanographic dispersal of larvae from spawning to nursery grounds. This is mediated by life-history traits such as the timing and frequency of spawning, larval behaviour and duration, and settlement success. Here, we use 1725 single nucleotide polymorphisms (SNPs) to study the fine-scale spatial genetic structure in the commercially important cockle species Cerastoderma edule and compare it to environmental variables and current-mediated larval dispersal within a modelling framework. Hydrodynamic modelling employing the NEMO Atlantic Margin Model (AMM15) was used to simulate larval transport and estimate connectivity between populations during spawning months (April-September), factoring in larval duration and interannual variability of ocean currents. Results at neutral loci reveal the existence of three separate genetic clusters (mean F-ST = 0.021) within a relatively fine spatial scale in the north-west Atlantic. Environmental association analysis indicates that oceanographic currents and geographic proximity explain over 20% of the variance observed at neutral loci, while genetic variance (71%) at outlier loci was explained by sea surface temperature extremes. These results fill an important knowledge gap in the management of a commercially important and overexploited species, bringing us closer to understanding the role of larval dispersal in connecting populations at a fine geographic scale.",2020,"irish sea; larval dispersal; particle tracking; population connectivity; radseq; redundancy analysis","Article","ISI"
"Expressed sequence tag library of the marine green alga Tetraselmis suecica: a focus on stress-related genes for marine pollution","10.1007/s10811-018-1445-y","Sathasivam, R; Guo, R; Wang, H; Lim, WA; Ki, JS","The marine green microalga, Tetraselmis suecica, is an important food source for aquaculture, lipid source for biofuel production, and a potential model organism for toxicity assays because of its rapid growth and ability to produce useful chemicals. In order to gain molecular toxicogenomic insights, we determined expressed sequence tags (ESTs) of T. suecica by pyrosequencing, and attained 741 K reads, including 290 Mb of cDNA information. Upon data processing, 24,651 contigs and 19,072 non-overlapping fragments were acquired and deposited to the NCBI non-redundant and gene ontology databases. Of these, 11,292 contigs and 1848 singletons were annotated. From the EST data, we found that many previously identified stress-responsive protein-coding genes were included. The data were further investigated with a focus on heat shock protein (HSP) gene families, with most characterized HSP genes present in our ESTs. In addition, the expression of HSP70 and HSP90 was significantly increased after T. suecica cells were exposed to metal contaminants. This work expands our understanding of stress-related genomics of T. suecica and further evaluates a potential use of oxidative stress-related genes as biomarkers, in particular HSP involvement in environmental genomics and marine toxicological assessment.",2018,"tetraselmis suecica; expressed sequence tags; toxicogenomics; stress-related genomics; heat shock proteins; toxicological assessment","Article","ISI"
"Speciation in marine environments: Diving under the surface","10.1111/jeb.13756","Faria, R; Johannesson, K; Stankowski, S","Marine environments are inhabited by a broad representation of the tree of life, yet our understanding of speciation in marine ecosystems is extremely limited compared with terrestrial and freshwater environments. Developing a more comprehensive picture of speciation in marine environments requires that we 'dive under the surface' by studying a wider range of taxa and ecosystems is necessary for a more comprehensive picture of speciation. Although studying marine evolutionary processes is often challenging, recent technological advances in different fields, from maritime engineering to genomics, are making it increasingly possible to study speciation of marine life forms across diverse ecosystems and taxa. Motivated by recent research in the field, including the 14 contributions in this issue, we highlight and discuss six axes of research that we think will deepen our understanding of speciation in the marine realm: (a) study a broader range of marine environments and organisms; (b) identify the reproductive barriers driving speciation between marine taxa; (c) understand the role of different genomic architectures underlying reproductive isolation; (d) infer the evolutionary history of divergence using model-based approaches; (e) study patterns of hybridization and introgression between marine taxa; and (f) implement highly interdisciplinary, collaborative research programmes. In outlining these goals, we hope to inspire researchers to continue filling this critical knowledge gap surrounding the origins of marine biodiversity.",2021,"demographic history; dispersal; effective population size; gene flow; genomic architecture; geographic isolation; hybridization; interdisciplinary research; natural selection; reproductive barriers","Article","ISI"
"Comparative genomic insights into the taxonomy of Edwardsiella tarda isolated from different hosts: Marine, freshwater and migratory fish","10.1111/are.13448","Shao, JC; Guo, QX; Hu, RX; Gu, ZM","Edwardsiella tarda, a Gram-negative member of the family Enterobacteriaceae, has been isolated from many animal species worldwide, especially fish species. Its broad host range indicates the diversity in taxonomy, which attracted the attention of many researchers. Here, we added genome of E.tarda strain isolated from freshwater fish to comparative genomics study for the first time. We sequenced and assembled the genome of E.tarda ASE201307 which was isolated from freshwater Asian swamp eel. ASE201307 genome contained a single circular chromosome of 3.68M with G+C 57.09% content. Comparative genomics including SNP calling, synteny block, Core/Pan genes analysis and phylogeny analysis was conducted among ASE201307 and other Edwardsiella strains isolated from different fish species. Results of SNP analysis and synteny block demonstrated the close relative of ASE201307, FL95.01 and DT which were all isolated from freshwater fish. In further analysis heat map of dispensable genes and phylogenetic tree, all E.tarda strains were divided into two groups. One was isolated from freshwater fish and the other was isolated from marine/migratory fish. Based on all studies above, we proposed the living environment of hosts as a new taxonomic character and divided E.tarda isolated from diseased fish into freshwater group and marine/migratory group.",2018,"comparative genomic; edwardsiella tarda; genome; taxonomy","Article","ISI"
