"ID","Author","DOI","Title","Generic","Species","Common name","Habitat","HabitatII","Pelagic Larval Duration (days)","PLD reference","Conservation status","Fishery resource","World region","Biogeographic region","Country","Technical","enzimes","Number Samples","Outlier detection method","SNPs","Neutral loci","Outlier loci","Neutral","Adaptive","Environmental association","Main environemntal driver adaptive","Environmental data","Environmental Database","gene-environment software","Anotation associated markers","Notes","Genome data access","Environment data access","Collection latitude lower","Collection latitude higher","Current","Sampling coordinates","Coordinate path","Include"
11,"Galaska, MP; Liu, GP; West, D; Erickson, K; Quattrini, AM; Bracco, A; Herrera, S","10.3389/fmars.2021.790929","Seascape Genomics Reveals Metapopulation Connectivity Network of Paramuricea biscaya in the Northern Gulf of Mexico","Coral",NA,NA,"Deep sea","Reef",NA,NA,NA,"No","Gulf of Mexico","11","US","RAD-seq","PstI",154,"Bayescan",12948,4248,"10","Metapopulation","Metapopulation","yes","Depth; Mean bottom seawater potential density","Depth; Latitude; Longitude; Mean bottom temperature; Mean bottom salinity; Mean bottom current speed; Mean bottom oxygen concentration; Mean bottom seawater potential density; Mean surface chlorophyll concentration; Mean surface primary productivity","Hybrid Coordinate Ocean Mode","RDA",NA,"Bottom seawater potential density (σθ) could play an important role if larvae behave as neutrally buoyant particles dispersing along isopycnals as suggested for other deep-sea corals and sponge species (Dullo","https://figshare.com/articles/dataset/Dataset_of_neutral_SNP/16692229/4",NA,48.75,61.8,"North Atlantic Drift","No",NA,NA
12,"Delaval, A; Frost, M; Bendall, V; Hetherington, SJ; Stirling, D; Hoarau, G; Jones, CS; Noble, LR","10.1111/eva.13327","Population and seascape genomics of a critically endangered benthic elasmobranch, the blue skate Dipturus batis","Elasmobranch",NA,"Blue skate","Benthic","Sand",NA,NA,"Critically endangered (IUCN)","Yes","North East Atlantic","18; 3","Scotland; Faroe Islands; Celtic sea","DArT-seq","PstI; SphI",564,"Bayescan",6350,6329,"21","IBD","IBD","yes","Minimum bottom temperature","latitude; mean current velocity; minimum current velocitty; maximum current velocity; maximum pH; minimum pH; mean pH;  minimum bottom temperature; mean bottom temperature; maximun bottom temperature; mean salinity; maximum salinity; minimum salinity; Minimum oxygen concentration; Maximun oxygen concentration; Mean oxygen concentration; Minimum chlorophyll; Maximun chlorophyll; Mean chlorophyll","Copernicus Marine Environment Monitoring Service database","PCA",NA,"Environmental assosiation in one out of 21 outlier loci","https://datadryad.org/stash/dataset/doi:10.5061/dryad.98sf7m0kc",NA,NA,NA,NA,NA,NA,NA
13,"Benestan, L; Quinn, BK; Maaroufi, H; Laporte, M; Clark, FK; Greenwood, SJ; Rochette, R; Bernatchez, L","10.1111/mec.13811","Seascape genomics provides evidence for thermal adaptation and current-mediated population structure in American lobster (Homarus americanus)","Crustacean",NA,"American lobster","Benthic","Rock","21 - 70","https://www.parl.ns.ca/lobster/lifecycle.htm","Least concern (IUCN)","Yes","North West Atlantic","18","Canada","RAD-seq","Sbf1",562,"Bayescan; Arlequin; Outflank",13688,9770,"28","IBD","IBE","yes","Minimum sea surface temperature","Maximum Sea surface temperature; Minimum  Sea surface temperature; Mean sea surface temperature from summer; Mean Sea surface temperature from winter; Mean Sea surface temperature","Remote Sensing Laboratory of the Maurice Lamontagne Insti- tute and obtained from Observatoire global du Saint- Laurent-OGSL database (http://ogsl.ca)","COR; Bayescenv; LFMM","b-galactosidase","Our results revealed that both geo- graphic distance but more importantly ocean currents were involved in explaining and shaping neutral genetic population structure, whereas minimum annual sea surface temperature (SST) was identified as a main potential selective agent driving local adaptation. From the combination of statistical analyses, we detected three candidate genes (GRID 1, Vps16, b-galactosidase), including one gene (b-galactosidase), with allele frequen- cies exhibiting a pronounced temperature-associated cline. This b-galactosidase gene has been identified as an important functional gene involved in cold adaptation in many microorganisms","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA281764","https://ogsl.ca/en/home-slgo/",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.13811",NA
14,"Coscia, I; Wilmes, SB; Ironside, JE; Goward-Brown, A; O'Dea, E; Malham, SK; McDevitt, AD; Robins, PE","10.1111/eva.12932","Fine-scale seascape genomics of an exploited marine species, the common cockle Cerastoderma edule, using a multimodelling approach","Bivalve",NA,"Common cockle","Benthic","Sand","30","10.1111/eva.12932",NA,"Yes","North East Atlantic","3","Ireland","RAD-seq","PstI",191,"Bayescan; PCADAPT",1725,1711,"14","IBD","IBE","yes","Minimum sea surface temperature in April","Simulated monthly mean sea surface temperature; Simulated bottom monthly mean temperature; Simulated larval connectivity","NEMO Atlantic Margin Model (AMM15)","Ordistep",NA,"Environmental association analysis revealed that neu- tral genetic structure was strongly linked to geographic distance between sites and to the strength and direction of the ocean cur- rents acting as corridors for larval dispersal, whereas colder pe- riods (cold SSTs) were identified as potential drivers of adaptive divergence.","https://datadryad.org/stash/dataset/doi:10.5061/dryad.ht76hdrbr","https://datadryad.org/stash/dataset/doi:10.5061/dryad.ht76hdrbr",NA,NA,"North Atlantic","yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.12932",NA
15,"DiBattista, JD; Travers, MJ; Moore, GI; Evans, RD; Newman, SJ; Feng, M; Moyle, SD; Gorton, RJ; Saunders, T; Berry, O","10.1111/mec.14352","Seascape genomics reveals fine-scale patterns of dispersal for a reef fish along the ecologically divergent coast of Northwestern Australia","Fish",NA,"stripey snapper","Demersal","Reef","30","10.1007/s10641-010-9633-x",NA,"Yes","Indo West Pacific","16","Australia","DArT-seq","PstI-SphI; PstI-NspI",1016,"Outflank",4402,4336,"66","IBD",NA,"no",NA,NA,NA,NA,NA,NA,"https://datadryad.org/stash/dataset/doi:10.5061/dryad.4hk28",NA,NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\mec.14352",NA
16,"Carreras, C; Garcia-Cisneros, A; Wangensteen, OS; Ordonez, V; Palacin, C; Pascual, M; Turon, X","10.1111/ddi.13016","East is East and West is West: Population genomics and hierarchical analyses reveal genetic structure and adaptation footprints in the keystone species Paracentrotus lividus (Echinoidea)","Echinoderm",NA,"Stony sea urhin","Benthic","Rock","29 - 86","10.1007/s00227-010-1528-z",NA,"Yes","East Atlantic; Mediterranean","5; 18","Morocco; France;Turkey","GBS","ApekI",241,"Bayescan; Lositan; Arlequin",3348,3063,"285","IBD","IBE","yes","Maximum sea surface temperature; Maximun salinity","Monthly mean sea surface temperature; Monthly mean salinity","Copernicus Marine Environment Monitoring Service database","RDA","Apoptotic process; protein ubiquitination;  lysosomal transport and organization; response to oestrogen; nucleobase-containing compound catabolism anatomical structure development; sperm associated antigen","According to the genomic signals of asso- ciation to environmental variables, adaptation to maximum salinity and temperature appeared as an important driver of the transition between Atlantic and Mediterranean basins, while temperature range associated signals were detected within the Mediterranean",NA,"http://marine.coper nicus.eu;MULTIOBS_GLO_PHY_REP_015_002",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\ddi.13016",NA
17,"Dallaire, X; Normandeau, E; Mainguy, J; Tremblay, JE; Bernatchez, L; Moore, JS","10.1111/eva.13248","Genomic data support management of anadromous Arctic Char fisheries in Nunavik by highlighting neutral and putatively adaptive genetic variation","Fish",NA,"Artic char","Pelagic","Water column",NA,NA,"Least concern (IUCN)","Yes","North West Atlantic","18","Canada","GBS","PstI; MspI",650,"Bayescan; PCADAPT",18112,17676,"456","IBD","IBE","yes","Mean sea surface temperature summer; Annual mean diffuse attenuation; Annual mean sea surface salinity","Annual mean primary productivity; Annual mean dissolved molecular oxygen; sea-surface temperature summer; Annual mean diffuse attenuation; Annual mean sea surface salinity; Amplitude of M2 tida constituent; Mean precipitation of the coldest quarter; Mean precipitation of the warmest quarter; Mean air temperature of the coldest quarter; Minimum air temperature of the coldest month; Mean air temperature of the warmest quarter; Maximum air temperature of the warmest month; Upstream catchment area","BIO- Oracle v2.0; Maspec; WorldClim v2.0","RDA; LFMM",NA,"While coastal waters surrounding sampling sites in Hudson Bay reached mean summer SSTs ranging from 5.5 to 7.5°C, Hudson Strait stayed closer to the freezing point (0.5– 2°C). Such contrasts in surface temperature, coupled with a dis- crepancy in tidal regimes and salinity, likely produce widely different coastal habitats, which we argue could result in local adaptation of Arctic Char populations",NA,NA,NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.13248",NA
18,"Jenkins, TL; Guillemin, ML; Simon-Nutbrown, C; Burdett, HL; Stevens, JR; Pena, V","10.1111/eva.13219","Whole genome genotyping reveals discrete genetic diversity in north-east Atlantic maerl beds","Rodholith","Phymatolithon calcareum","rhodolith","Benthic","Rock",NA,NA,NA,"No","North East Atlantic","18; 3","Portugal - Norway","whole-genome sequencing",NA,95,"Outflank",14152,14152,NA,"IBD",NA,NA,NA,NA,NA,NA,NA,"Mearl beds are geographically structured and generally show a north- south clinal pattern of genetic variation, a pattern similar to other benthic marine species distributed across a similar geographical area explained by a low dispersal capacity","https://www.ncbi.nlm.nih.gov/bioproject/PRJNA682082",NA,NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.13219",NA
19,"Hornick, KM; Plough, LV","10.1111/eva.13322","Genome-wide analysis of natural and restored eastern oyster populations reveals local adaptation and positive impacts of planting frequency and broodstock number","Bivalve",NA,"Eastern oyster","Benthic","Rock","21",NA,NA,"Yes","North West Atlantic","11","US","ddRAD-seq",NA,556,"Bayescan; Outflank; PCADAPT",6654,6644,"10","IBD","IBE","yes","Mean salinity","Mean salinity; Mean water temperature; Minimun disolved oxygen; mean pH","Maryland Department of Natural Resources Eyes on the Bay program; Chesapeake Bay Program","RDA","Ion binding; transmembrane transporter activity","Environment play greater contribution to neutral and adaptive genetic differentiation thant geography. For this, all sites were used. subtle but significant population structure among oys- ter populations in the Chesapeake region was uncovered, which was evidenced by genetic clustering of proximal sites and sig- nificant isolation by distance (IBD) over the length of the estu- ary",NA,"https://eyesonthebay.dnr.maryland.gov/; https://data.chesapeakebay.net/",NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.13322",NA
20,"Carrier, E; Ferchaud, AL; Normandeau, E; Sirois, P; Bernatchez, L","10.1111/eva.12979","Estimating the contribution of Greenland Halibut (Reinhardtius hippoglossoides) stocks to nurseries by means of genotyping-by-sequencing: Sex and time matter","Fish",NA,"Greenland halibut","Demersal","Water column","91",NA,NA,"Yes","North West Atlantic","18","Canada","ddRAD-seq","PstI; MspI",450,"Bayescan",32192,26669,"5309","IBD",NA,NA,NA,NA,NA,NA,NA,"Our results show a significant differentiation between geographi- cal regions of Atlantic Ocean and the St. Lawrence, but  population structure was different when removing sex-linked SNPs from dataset. This","https://www.ncbi.nlm.nih.gov/search/all/?term=PRJNA613476",NA,NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\eva.12979",NA
21,"Hoey, JA; Pinsky, ML","10.1111/eva.12676","Genomic signatures of environmental selection despite near-panmixia in summer flounder","Fish",NA,"summer flounder","Benthic","Sand","21",NA,NA,"Yes","North West Atlantic","11","US","ddRAD-seq","PstI; EcoRI",232,NA,1137,1122,"15","Panmixia","IBE","yes","Mean bottom temperature; Mean bottom salinity","Distance along the coast; Depth of sampling location; Mean bottom temperature; Mean bottom salinity",NA,"BayEnv; RDA","Calcium binding; metal binding; demethylation; transcription; transmembrane protein",NA,"https://datadryad.org/stash/dataset/doi:10.5061/dryad.c6p8q62",NA,NA,NA,NA,NA,NA,NA
22,"Dalongeville, A; Benestan, L; Mouillot, D; Lobreaux, S; Manel, S","10.1186/s12864-018-4579-z","Combining six genome scan methods to detect candidate genes to salinity in the Mediterranean striped red mullet (Mullus surmuletus)","Fish",NA,"striped red mullet","Demersal","Water column",NA,NA,"Least concern (IUCN)","Yes","Mediterranean","5; 2; 18","Mediterranean","GBS","ApekI",727,NA,1153,1000,"153","IBD","IBE","yes","Maximum sea surface salinity","Maximum daily sea suface temperature; Maximum sea surface salinity","NEMOMED8","Linear regression; RDA; MSOD; gINLand; LFMM; PCADAPT","methionine sulfoxide reductase; methionine sulfoxide reductase; SOCS2.",NA,NA,NA,NA,NA,NA,"yes","C:\Users\migue\OneDrive\Documentos\Post_Doc_CICESE\proyectos\2022_Paradigmas_CONACYT\seascape\seascape\data\coordinates\s12864-018-4579-z",NA
